agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,joined_at_dt
AGT0000790,EMP00725,Neha Singh,VND0000012,T3,SUSPENDED,2024-01-01 00:10:05,2025-04-25 10:41:00,2024-01-01 00:10:05+00:00
AGT0000309,EMP00030,Sneha Das,VND0000009,DIGITAL,ACTIVE,2024-01-01 00:19:49,2026-02-06 20:06:04,2024-01-01 00:19:49+00:00
AGT0000200,EMP00679,Vikram Shah,VND0000011,DIGITAL,SUSPENDED,2024-01-01 00:31:20,2025-07-02 08:54:30,2024-01-01 00:31:20+00:00
AGT0000653,EMP00633,Rahul Verma,VND0000003,FIELD,INACTIVE,2024-01-01 00:41:09,2025-10-14 06:40:55,2024-01-01 00:41:09+00:00
AGT0000023,EMP00193,Rahul Verma,VND0000007,FIELD,INACTIVE,2024-01-01 00:51:44,2025-03-07 11:33:52,2024-01-01 00:51:44+00:00
AGT0000901,EMP00339,Rahul Verma,VND0000002,T1,SUSPENDED,2024-01-01 01:30:04,2025-10-26 21:49:35,2024-01-01 01:30:04+00:00
AGT0000165,EMP00985,Amit Kumar,VND0000015,T1,ACTIVE,2024-01-01 01:46:14,2025-04-28 21:27:42,2024-01-01 01:46:14+00:00
AGT0000722,EMP00749,Sneha Das,VND0000011,DIGITAL,INACTIVE,2024-01-01 03:08:44,2025-10-29 12:06:58,2024-01-01 03:08:44+00:00
AGT0000893,EMP00691,Rohan Patel,VND0000012,FIELD,INACTIVE,2024-01-01 03:25:47,2025-02-01 07:32:34,2024-01-01 03:25:47+00:00
AGT0000069,EMP00023,Neha Singh,VND0000007,DIGITAL,SUSPENDED,2024-01-01 04:03:06,2025-02-23 22:37:00,2024-01-01 04:03:06+00:00
AGT0000007,EMP00587,Pooja Nair,VND0000005,FIELD,ACTIVE,2024-01-01 04:04:43,2026-07-07 06:34:41,2024-01-01 04:04:43+00:00
AGT0000783,EMP00953,Rohan Patel,VND0000006,T1,SUSPENDED,2024-01-01 04:50:46,2025-11-04 08:41:26,2024-01-01 04:50:46+00:00
AGT0000884,EMP00987,Priya Mehta,VND0000004,T2,INACTIVE,2024-01-01 04:56:59,2025-09-05 09:49:16,2024-01-01 04:56:59+00:00
AGT0000938,EMP00719,Ananya Rao,VND0000015,DIGITAL,INACTIVE,2024-01-01 05:57:53,2025-01-04 01:33:02,2024-01-01 05:57:53+00:00
AGT0000193,EMP00475,Ananya Rao,VND0000013,T1,SUSPENDED,2024-01-01 06:58:00,2026-07-14 20:18:05,2024-01-01 06:58:00+00:00
AGT0000977,EMP00883,Amit Kumar,VND0000010,FIELD,SUSPENDED,2024-01-01 06:59:11,2025-01-10 08:11:43,2024-01-01 06:59:11+00:00
AGT0000912,EMP00435,Sneha Das,VND0000009,FIELD,ACTIVE,2024-01-01 07:46:33,2026-04-22 13:14:51,2024-01-01 07:46:33+00:00
AGT0000983,EMP00842,Sneha Das,VND0000014,T1,ACTIVE,2024-01-01 07:55:09,2026-04-11 09:58:34,2024-01-01 07:55:09+00:00
AGT0000541,EMP00608,Rahul Verma,VND0000014,T1,SUSPENDED,2024-01-01 08:02:45,2026-01-18 00:40:16,2024-01-01 08:02:45+00:00
AGT0000283,EMP00005,Aarav Sharma,VND0000012,FIELD,SUSPENDED,2024-01-01 08:04:53,2026-01-07 06:51:20,2024-01-01 08:04:53+00:00
